Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date
76,92,80,87,2018
78,77,61,78,2020
63,85,64,87,2020
79,76,70,79,2018
68,96,,93,2020
61,83,75,89,2019
77,84,80,190,2020
75,87,60,87,2020
78,91,63,99,2018
60,95,67,81,2019
73,,69,96,
78,80,78,75,2018
66,89,77,81,2020
61,80,,77,2018
61,85,65,92,2018
60,81,62,85,2020
,93,61,90,2018
73,82,67,,2019
67,95,77,99,2019
74,92,62,98,2019
62,93,73,90,
66,89,79,86,2020
70,75,77,96,2018
66,80,,95,2021
93,87,60,90,2018
65,94,68,83,2019
60,76,80,,2019
75,84,62,78,2019
75,99,75,77,2021
64,79,100,84,2021
